neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[7, 2, 3, 1]",-1,1.0,0.0,0.0,0.0,1.0,10,0,Adam,100,True,False,0.01,-1,5.655002117156982,8.111499786376953,6.212656021118164,7.019532203674316,558
"[7, 2, 3, 1]",-1,1.0,0.0,0.0,0.0,1.0,10,1,Adam,100,True,False,0.01,-1,5.599605560302734,8.204187393188477,6.177421569824219,7.310486316680908,558
"[7, 2, 3, 1]",-1,1.0,0.0,0.0,0.0,1.0,10,2,Adam,100,True,False,0.01,-1,5.617386341094971,8.206107139587402,6.157979488372803,7.39509654045105,558
