neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[20, 10, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,2000,True,False,0.01,418697,0.027331002056598663,0.026472248136997223,0.02412477880716324,345.8317930698395,8546
"[20, 10, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,1,Adam,2000,True,False,0.01,418697,0.026947567239403725,0.02635301649570465,0.024037733674049377,534.3032279014587,8546
"[20, 10, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,2,Adam,2000,True,False,0.01,418697,0.025551924481987953,0.025591913610696793,0.02423560619354248,699.5088257789612,8546
