neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[13, 5, 3, 1]",-1,0.0,0.1,0.1,0.0,0.0,7,0,Adam,100,True,False,0.05,-1,0.8756476683937824,0.8571428571428571,0.8852459016393442,1.4978485107421875,1503
"[13, 5, 3, 1]",-1,0.0,0.1,0.1,0.0,0.0,7,1,Adam,100,True,False,0.05,-1,0.9067357512953368,0.8571428571428571,0.8852459016393442,1.5700325965881348,1503
"[13, 5, 3, 1]",-1,0.0,0.1,0.1,0.0,0.0,7,2,Adam,100,True,False,0.05,-1,0.8860103626943006,0.8571428571428571,0.8852459016393442,1.510772705078125,1503
