neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[15, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,1000,True,False,0.01,33495,0.6490534605934493,0.6489371865297349,0.6537344043753205,138.63367700576782,1926
"[15, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,1,Adam,1000,True,False,0.01,33495,0.6489489695692283,0.6490088368760449,0.6526092405856548,162.83714270591736,1926
"[15, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,2,Adam,1000,True,False,0.01,33495,0.6488564203763468,0.6481251492715548,0.652694696063351,146.5208878517151,1926
