neurons,k,lamb,noise_scale,noise_scale_base,lambda_l1,lambda_entropy,grid,seed,opt,patience,hermite,normalize,lr,batch_size,train,val,test,training_time,number_of_parameters
"[13, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,0,Adam,500,True,False,0.001,-1,0.6816915674854394,0.6882591093117408,0.6898785425101215,44.54856562614441,4101
"[13, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,1,Adam,500,True,False,0.001,-1,0.6816915674854394,0.6902834008097166,0.6890688259109312,52.32458686828613,4101
"[13, 5, 10, 5, 1]",-1,0.0,0.1,0.1,0.0,0.0,10,2,Adam,500,True,False,0.001,-1,0.6827044821473791,0.687246963562753,0.6898785425101215,50.012115478515625,4101
